,puzzle,difficulty,time,clues,uniqueness,branching
0,56....24.4..7...5.........8...1..4237...86......2.3.....1....8..8....59.3.9...6..,0,,25,,
1,4.3...8...6.........971.....8.....65.......72697...3.4...67....1....9...348..2...,0,,25,,
2,3........6....3.797.9...1.6...61....5...97..1...8..6....2.8..47..........5.3.98..,0,,25,,
3,.5....12..4.5.89..1.......7...9.2.45...4.18....7......5...836.....2...83........2,0,,25,,
4,..8.......9.4.6...4....7..35.....16.8.9...4...27.1....9.4....57..2.73....5....2..,0,,25,,
5,..9...4.6..2..4....5.63......37....2.....16...9..83........5.6..38.1..94......8.5,0,,25,,
6,7..96......9.178....43....6...75....86............4....3.5..918.2.....35.........,0,,23,,
7,..5...27.36.....4..1.5....3.....1.........3.8.2..7..........5..79.14..36..46.8.1.,0,,25,,
8,9.4...5.1.8....42......2.7.......29.15.9...8.6.......5...6..3...9.2.8...7...45...,0,,25,,
9,...3.....8.25.1..33.4...6..4.........7..195....3......5....7.1...186..9...6..4.7.,0,,25,,
10,7...986.5..1.37..2..4....3..6.........3.7.....1.5.......6..4.178.....2.6.......84,0,,25,,
11,36......78.....69...1...8....2..576....8...3..7..26.......93....2.....591...72...,0,,25,,
12,.3.....6....7..8.11............8..94..75.96..5..6....2.1..9....3.5.4......8..3...,0,,23,,
13,..3..1.6..9.7..5.........47..524.3.9......4.....6.....35..6.....6..8...38...5..1.,0,,24,,
14,.1.....63..7..2.9....9...28...8....98..1......2.6..5.4..8..5..67...9.....9..6...2,0,,25,,
15,.5..627....3.7...5..81.....7..4.....83......2.69..........561.7..6...5.......3.2.,0,,24,,
16,1...593...........36.8..1...29...4.7.........7.162.......3.12...48......2....6..9,0,,24,,
17,..6.9..75.2......95..2.....6.4...8.2.1..2.....3.8....1...578...8....3.9.........7,0,,24,,
18,.....18...1...........5.93..4.3....6.6..48....3.52.4...79...3....6.73.....26.9.1.,0,,26,,
19,..2.6...98.9..5...1......6....6..1..45.9..87....1...5......9.3.7...2..149.....2..,0,,25,,
20,4..5.3..9.1.96...49......523...9.1....6...8...5.18...6.......686...54.....1......,1,,26,,
21,.78...159.............9..43..9...5..7....8.3..1..748.6....8.....53.1.....4...9.7.,1,,25,,
22,.....6..5..9.7....2.....7....8.1..469..8.7.....1..4.3.6......2..52.4....7..9..3..,1,,24,,
23,......4.7..53...6.9..6.......7..8....59.6...3....5..12.....4.36....3.....78...9..,1,,23,,
24,4...5..1...61.42.....3..5....3.72..8.524..9..6.......71...2.....64..9......7.....,1,,25,,
25,....46..15..2.......3......6.4..8.9......1.4...5....3.1...942..8.......37...6....,1,,22,,
26,7.1....82.4...2...8.....53.....9..2..9.1....3.......5.4....7...3.8..91.....251...,1,,24,,
27,..5....6..2....4..7..9.1...9.....8.1...5....96.784..5..9.3.4.26..............23.4,1,,25,,
28,..9.8.37...62...5.5...1..4.71..45..........8......24....1......4..7.31..9...6..27,1,,26,,
29,42..........1..7....74.3.8...3..6.5.....8..72.6.......8...654.1........56...4.82.,1,,25,,
30,.2.5..14...67....3.84........82..59.........475.1.......1..3.7.8...6........5.81.,1,,25,,
31,.......5...3.9.1.241...2.7....18.94...6.....71......6.8..6.....6.9.4..3.....27...,1,,25,,
32,.41.5........39.8...2.....1.5.7..4.3.9842.1.....5..8....73......8..1..57.2.......,1,,26,,
33,.4..76.581..5..7..3.....1.........4...6..5.3.5....8............8..3..2.797..8....,1,,23,,
34,..7.8.....1..3.4....39.75.2.9..........5..281..57..9....1..8.5.5....4....3.....4.,1,,25,,
35,1..6........9...1.....54..7.6..85.714......6..2..1.9...7......593..2.8...4......2,1,,25,,
36,...6.1....89.4...6......51.4...28.3...5.692.....5.........1..69..4...37......4...,1,,24,,
37,3..........2..84...6.72..8....26..78...9............5364..79....7.4......83..5...,1,,24,,
38,....24....6.9..5....71......5..8..3.82...1..9....5..8.7....3....8964...........17,1,,24,,
39,..6.85........1..2......68.9.1....7..6871........9..6..7....9.4...5...28.428...3.,1,,26,,
40,64.........35....1.9....3.8...76.49.4......8..6...1..2...283....3..7..1.......6..,2,,24,,
41,5.......7.1...9....93...2......81.4.128.........6......3..5..9....81.6.4.6..2..58,2,,25,,
42,.73.............2..45.....3.......6....427....9.13.5....89..4.1..1.7.....5...4..7,2,,23,,
43,78.....53...3....6....1.7...294.......6..9...5..8.2.....41.....6.7.4...5.....39..,2,,24,,
44,.56..8.7.8........3..4...1.54.9.3.....12..3........49.....4...8.2........391....6,2,,24,,
45,....1.6....29.541...98.....4..3.......7..91...38.4..2.17.5...6.......9....4....81,2,,26,,
46,.3....21.68........275....8.4......1.6.94..3.....6..9......1.7...5.9.4.2..3.5....,2,,25,,
47,.6....8.98.4..3.2......6.7...67..548..7..2.......3.....8..1.9..1.........3...92..,2,,24,,
48,.6.3.184...4...........9.13.2..57...3..24.5.1...9.....4.5.........8..7...9..2....,2,,24,,
49,9.......44..2.58..7....41...7.........6.2..3.....867....293........4.5..8.4.....3,2,,24,,
50,.........4..97.62.1....2..798........3..48.1......37..3...16..8..7.......6.5..4..,2,,24,,
51,...9.1..7....4..8...78..46359...86.......3......6...........2...81....5..7..2...4,2,,23,,
52,.......9362.....1.97...38..2.894.1...1.........6..5..4....9........32.58.....62..,2,,25,,
53,..4.6....1..39.6...9.2....58..12..7.........89...........8...5...65...237.3...1..,2,,24,,
54,1....2.....3.8.1...695......52.63...9.......5.8...192.3....84.7....4.28..........,2,,25,,
55,...6..5.9.....786..1........7.4....39.5......4.......1.64.95...1.....7......823..,2,,23,,
56,..7......3...4.1.2...1.75.....7.1.2.2.1..8.5.6.....31.....5...4..8..69....2......,2,,24,,
57,6...2......1..49.87....81........5.9.5...2.4......6....9..63.1.3.5...2.72.......6,2,,25,,
58,........9...4...6.52...61..3..2..7..96.....4...7.3.9.6.....5...1.3......7..94..3.,2,,24,,
59,.572...4...249...3..6.........83..27...1.2.5..7........6..........7..8.21....4.6.,2,,24,,
60,..8...3.1.5...4.......62.....1..3.2..865......4......7.37..16.5...3..........7.9.,3,,23,,
61,.9......55.3..2.9.12............36..........8.3..194.......8......357.1...84..9..,3,,23,,
62,4....17......5.......234..6.9....6.8...5......538..9.18....94....91......6...2...,3,,24,,
63,7.......1.......65.8..9......2467...6...5...4.7...9........5...23.8....79....48..,3,,23,,
64,...81.54......4.....1..562.....8.2...5.9........5.14..7....6......24..9..83......,3,,23,,
65,76...1.....147......2..9..4496..8..7...6.5..33.........4.....961.9...8.....7.....,3,,25,,
66,.4...9.3...26.57.1.........12...7......3..6.5....1..2...62..9.....7...8.8.7.....4,3,,24,,
67,......73....1....5..9..26.85...4.....3....9....1..8.2.8...15..4.6.7.....1.5.3....,3,,24,,
68,2..586...1.......3.6.43....8.....91.4...6.2......7.....8.32..4......7.6..3......2,3,,24,,
69,.36.4.5.....6....8.......2.27.......5....9.4.4...8..35...8.3.....4.2...9.12.6....,3,,24,,
70,.13.....86....19....9.7..6.....9..8.........2.2.1..5.45..4....6...8.23...4...72..,3,,25,,
71,7.....25..48......2..3....41...4....6...9...7.7...6.4...92.5..8..5.81.7....9.....,3,,25,,
72,..2..5...1..8.....76.9.....3...9..7..1.6........4..92...6.1...72....3.4..7......9,3,,23,,
73,7.9..3..8............284.1......6.2........7.4..82.3.61.3.4...5.5.....8..6.17....,3,,25,,
74,6......9.2.34......4.5........6.3...8......2...6.5.4.1...96.875....2.....7.18....,3,,24,,
75,....3..5..6..5...352.84.....9....7..4.89.......1.8.5.6..65..2.....2...7..4..7....,3,,25,,
76,.....35....8.1...9.65...........6.9.65...2..1.9..4....2...6..581...27......8....3,3,,24,,
77,......54....3..8...6.....1..9.4.7135.781......452....79.......2..7..3.5...2.9....,3,,26,,
78,1..8...57....6.2....8.....43....45.29.42.3............5..1796....9..6.......2.1.5,3,,26,,
79,.953..1.72.64...3..1..6.2....1.53.....27.6....3....9..5.9.4.6.......2..........8.,3,,26,,
80,3.....7.....9...2.79..2...5.5.8..1.48...........279.5.9....8....68........2.5...1,4,,24,,
81,54...8.3..8......1..6.....2..5....7.86.....2...195.....9..348......96..7.1.7.....,4,,25,,
82,.6..7..5..35....1.....634.......9.2.89.3....6.7..5...8.51.............3...9..42..,4,,24,,
83,.9...5..826........5..8.9.......9..16..5.3.7..4..7.5......5.1.7...8..2..3..9.....,4,,24,,
84,..37......8..9......72....6.1....2...4...58..8....13.......6.7.7...4.1......1...2,4,,22,,
85,85...3......6..2......2..392....896...65..3..4.......83.4.......681..........9..7,4,,24,,
86,4...9.6....3.....8.7.2......1.3.......85...3........26....3.7...59.2..8.1......54,4,,23,,
87,.1..83.6.6....5.8....24.3......5...7.58....1.3....4.........65..4.......1.5..29..,4,,24,,
88,.....4....612.....2..98.....3...5..7...3..2...7..2.6.819.83.5....3.......8....9..,4,,24,,
89,...46..1.......8....2.......6....15.1.8.97...3.9......9..15...4....8..9.6..7....2,4,,23,,
90,.35.....762.5...1.....3......9...2..1..........28.6..1.4.3....99.8.2..7....69.5..,4,,25,,
91,......9...573....13.2.8.....75.......1..4.6......2.5.4.2......6...95..8.9....1...,4,,23,,
92,.5....2914.3...8...2.........27.........6..8.3..4..56..7...94..1...7......852.7..,4,,25,,
93,7...2.4.69....6..1..2..5.....74.........9...3.1.....5..38..1...4..8.........6.2..,4,,22,,
94,12....6.7....4.9...78...2.5..7..8..2...45.....9..7.3...1...4...7....5..9.......8.,4,,24,,
95,...29..47.9.4....3.3..8.9...5...871..8.....6.9.16..5.8..3...4...1..5....5...7...1,4,,28,,
96,...6....7.4..1..........829..3..5.........6532...........8..2...68.43....5...7...,4,,21,,
97,6..7....8.......53...64.72...1.7....2...8.4.938...6...5.8..1.......5......24.....,4,,24,,
98,....452.......3...9..8..5...3...2...1.6...4.3..5..6.8...4.6.1..27.5.......1....57,4,,25,,
99,..5..8.....31.2.......56.7...24.....9...2.3...1...7.4.....6..53.6..8..97........8,4,,24,,
100,...2....5..9..3.....765.39...379..5.....6.....71.......2.4....8....3..6..9.....3.,5,,23,,
101,.15......8.63....93...8......97.3..8..48....22......6.........6....349....32.58.7,5,,26,,
102,....45.8.......9.382.6......67.9.............9..7..86.6..53..1.452...........8.9.,5,,24,,
103,.....89219....2.......1..84.....5.6.124........7...3..3956...4............8.3...9,5,,24,,
104,.2..58.....8.......5...3.24...3..4.5.1.2.....9.56.......4...3....7.....6....67..8,5,,23,,
105,....72.....89....4.1....3....9....1.18...6...5..2....9.....4..6.346...8.7.5.2....,5,,24,,
106,..9....2.......3.8.....2..7.3.6.9.....2.3...1..65....4753.18...6.8.5.4...........,5,,24,,
107,...5.7......6..29.4.2.3..6...3........4.5...61...94.3........1.9.54......8....7..,5,,23,,
108,..5.7...3...6395.........1.8..96.1..15........3...2..86............1..9.4..2.3.8.,5,,24,,
109,.....6........4.815...7.3...62.1...5..7...91.....4..7.19.......8..261..4....3....,5,,24,,
110,.......25....816..6..7...1...9.......2.15....7...289..5.6...24..41..2.7......6...,5,,25,,
111,4..27.6...5.....3........4...5..236..8..6......64...71.17.4..9...4..8......9..2..,5,,25,,
112,...43..........5...647.23..........8.9..87.5..3..569.7.7....695...........16....2,5,,25,,
113,......7..214....5.....8...9..7416....4.7..5..6....8...45...1.3......59...6..9.8..,5,,25,,
114,....6.........71367..431...572.......8........1.82..7.....4.31....2..48..3....5..,5,,25,,
115,....2.8.4......51.451.......946.3......8.4...8...9..3..68...1..2..5..98.........7,5,,25,,
116,1..6.4....4.7......96..2.....2.1..5.7....9.2.......8...7.4.....2..8...97..1....45,5,,24,,
117,....13..7...9..2.8.2...8.....8.5....4.......31....7.9..4..3..217.9.......1....56.,5,,24,,
118,.....3.6185.....9..6..495..1...5.38...7..2.......9..4..9..1......42.....5......34,5,,25,,
119,..86.3....59..7...6.....5..47...2..3..5.....8.9.....1......9.4.3...74..1....1....,5,,23,,
120,8..3.......7.....93...12.6...9...7.6.4.9...2..5.2.4.1..3.5......71...6....8....9.,6,,25,,
121,.571..6........1......23..71..35..4..6...2.7..3..4.2...8.2..5..5....4..9....3..6.,6,,26,,
122,..3.4...78...6.9..9.......421..85..9.....9.4.....21...3...1......8.5......5...6.3,6,,24,,
123,.65......43.1...56......1...8....79..1.32...5..................6..57..2..5..698.3,6,,24,,
124,.4......53.....7.....19..2..9...1...2...8...7....364.8.6...93.2.1.......4...7....,6,,23,,
125,.8..9...7.2..8.4.3.732...5.9....4...........9..517...6.98..2...3.6.........5.....,6,,24,,
126,6.9....5.3......4..7..6...15....6.8...3287...........92...498...9.5.......6....2.,6,,24,,
127,...4..5..5......1...9...376.7......9...3.1.8...2..5.3.6..9.2.....7..3....3..4....,6,,23,,
128,......7...56.8.....9..2...3..7.....46...57...9.52..8...79.35.1...1....9......6..2,6,,25,,
129,.62..8..98......35....1.....5...1.6.....5....3.8..7..2....24....9....1....6....97,6,,23,,
130,.2.35..7.5.9..43...4.6...5..97..2........1.6..6.4...........8.1...7.65....4.9....,6,,25,,
131,.9...3..4...5...3..1.2........1..8.2..7.8...9..5.7......1......6....52..8.4...6.7,6,,23,,
132,63.7.....4....2.1..9..1.....4..9...5..9.8.2.4...4...8....3.......612..7.5.......2,6,,24,,
133,95.......8...1...7.16..8.9....2....8....3...2.75....1.5.9..4......56..4..4.7...3.,6,,25,,
134,..4..3.1.9..6....3......5....12....55...6...16...817...86.7.9.4.........1...9..76,6,,26,,
135,............32.71.91...8.....69....4.4....6..7....4.8.6.85......9...23...7.8.9..5,6,,25,,
136,..2............78313......6.81..39.....6.5.....42.8..1.1.....4...9..6..28.....6..,6,,24,,
137,.3....87..2.......57.9.4..24....7..5...8..3.4..9..2......6....88....152...3......,6,,24,,
138,.3...6..........4.76.1..5....5..8.9.4.........92.4.7..25.4...73...873.5.......1..,6,,25,,
139,...4....67.6....4543...2......9.1....6.3....8.7...4.3...7...8...5..1....1...2.7..,6,,24,,
140,...5..6..1..4...3.7...1..2......5..3....7...4.92..3.8..617..........4....3..8...9,7,,23,,
141,......9......1..5...473.8..75...2.....9.87..6..8.....9.6.....1.8...7.62...53.....,7,,24,,
142,....2...6..5.8...9.2...35...6.4.2..7.4.3.............2..9...2.....1.8.7.1.4..7.9.,7,,24,,
143,.3....1....9....4...6.....3....3........67..4...4.967..5..8..2..8...5.1.2...1...6,7,,23,,
144,.6..7..4.1...8...2...4...1......9.....584.3..69.3....7.8.....6...9...2......5..74,7,,24,,
145,..75..9.4....6.52.1.........3....8...8.4...5.7....82...1..9....2...41..7...8.....,7,,23,,
146,..2.5.7..5....1...7....3....2.....1.......9..15..7.236..8597.......386...4......8,7,,25,,
147,8...5....1.9.4.5..3..6..8....1....5..9....73.....24..9...1..3...6..75.2......2..7,7,,25,,
148,8......9...31.6.....4...5.1.4.7.....5...6.23..2...5...7.93..81.........3....8..2.,7,,24,,
149,...3.........96..18.3.1.6.41.2...5.....25...7..9.6..1...7...2...2.......9..8...56,7,,25,,
150,..7.....1.58......6.197...2...48.29.......3.6...3.7..............5.46..8.6..1..5.,7,,24,,
151,4.....31.....1..47.2.......89.3.....73.6.........5...1..4....5...3.2.8.....7.6...,7,,22,,
152,..89...2.5...3.........78.1..2.8...7..32....6......18.....95.1...4.7.....6.4.....,7,,23,,
153,..48......2...47....7..9..5........9152....7.....2.35..9.51.........6..37..4...8.,7,,24,,
154,..8..29..4.......2..9...46..5..4........8.2.......1.5.17......36..3....4...85.6..,7,,23,,
155,32.9.54.1.1..........83.92.2....7..34761..................5....5.4...8.....4.21..,7,,25,,
156,.......6...29.....19..3.2.8........2.6..854..8.174......9...316...3....52...1...4,7,,26,,
157,.3.....529..83..1.5.1..2..93.8........7.5..8....4........5..6..1...93..5.........,7,,23,,
158,..57.....46.9..........3.1...8.....56...974............41..2.3..3..845........2..,7,,22,,
159,..7...6......3..9....56..73..9.....8.4.3....58.5.4.3....6....5..734..9..9....2...,7,,25,,
160,.......7..1.9.4..8..9........5..17....3..96..1...67..9........4.82.46...3...8....,8,,23,,
